"Cx"	"Cy"	"Dx"	"Dy"	"Vx"	"Vy"	"Dxy"	"Vxy"	"Hxy"
487723.488	6777457.870	0.132	-4.163	0.006	-0.190	4.165	0.190	178.181
487823.488	6777257.870	4.773	0.886	0.218	0.040	4.855	0.222	79.481
487823.488	6777357.870	2.803	-0.708	0.128	-0.032	2.891	0.132	104.182
487823.488	6777457.870	0.838	-3.105	0.038	-0.142	3.216	0.147	164.892
487823.488	6777557.870	-1.370	-3.436	-0.063	-0.157	3.700	0.169	201.740
487923.488	6777057.870	5.715	2.304	0.261	0.105	6.162	0.281	68.044
487923.488	6777157.870	5.787	2.038	0.264	0.093	6.136	0.280	70.597
487923.488	6777257.870	5.728	1.421	0.261	0.065	5.902	0.269	76.067
487923.488	6777357.870	5.508	0.998	0.251	0.046	5.597	0.255	79.727
487923.488	6777457.870	2.560	-0.788	0.117	-0.036	2.679	0.122	107.115
487923.488	6777557.870	1.321	-1.779	0.060	-0.081	2.216	0.101	143.392
487923.488	6777657.870	1.509	-2.549	0.069	-0.116	2.962	0.135	149.378
488023.488	6776957.870	5.641	1.909	0.257	0.087	5.955	0.272	71.303
488023.488	6777057.870	5.972	2.116	0.273	0.097	6.336	0.289	70.492
488023.488	6777157.870	5.884	2.834	0.268	0.129	6.531	0.298	64.279
488023.488	6777257.870	5.674	2.999	0.259	0.137	6.418	0.293	62.145
488023.488	6777357.870	5.947	2.277	0.271	0.104	6.368	0.291	69.052
488023.488	6777457.870	5.022	1.344	0.229	0.061	5.198	0.237	75.016
488023.488	6777557.870	2.210	-0.953	0.101	-0.043	2.407	0.110	113.316
488023.488	6777657.870	1.248	-2.565	0.057	-0.117	2.852	0.130	154.050
488023.488	6777757.870	1.087	-2.360	0.050	-0.108	2.598	0.119	155.269
488123.488	6776757.870	4.777	1.586	0.218	0.072	5.033	0.230	71.632
488123.488	6776857.870	2.579	2.122	0.118	0.097	3.340	0.152	50.549
488123.488	6776957.870	5.116	2.175	0.233	0.099	5.560	0.254	66.970
488123.488	6777057.870	6.090	2.490	0.278	0.114	6.579	0.300	67.760
488123.488	6777157.870	6.216	2.654	0.284	0.121	6.759	0.308	66.877
488123.488	6777257.870	6.648	2.203	0.303	0.101	7.004	0.320	71.668
488123.488	6777357.870	6.615	1.973	0.302	0.090	6.903	0.315	73.388
488123.488	6777457.870	6.135	2.639	0.280	0.120	6.679	0.305	66.726
488123.488	6777557.870	5.228	1.135	0.239	0.052	5.349	0.244	77.753
488123.488	6777657.870	1.982	-0.837	0.090	-0.038	2.152	0.098	112.901
488123.488	6777757.870	1.188	-2.626	0.054	-0.120	2.883	0.132	155.657
488223.488	6776657.870	4.049	1.016	0.185	0.046	4.175	0.191	75.909
488223.488	6776757.870	4.355	1.685	0.199	0.077	4.670	0.213	68.849
488223.488	6776857.870	3.836	2.083	0.175	0.095	4.365	0.199	61.499
488223.488	6776957.870	5.388	2.123	0.246	0.097	5.791	0.264	68.495
488223.488	6777057.870	6.374	2.802	0.291	0.128	6.963	0.318	66.268
488223.488	6777157.870	6.777	2.779	0.309	0.127	7.325	0.334	67.699
488223.488	6777257.870	6.336	3.446	0.289	0.157	7.213	0.329	61.458
488223.488	6777357.870	6.643	3.702	0.303	0.169	7.605	0.347	60.869
488223.488	6777457.870	6.469	3.203	0.295	0.146	7.219	0.329	63.657
488223.488	6777557.870	6.261	2.731	0.286	0.125	6.831	0.312	66.430
488223.488	6777657.870	4.496	1.216	0.205	0.055	4.658	0.213	74.864
488223.488	6777757.870	1.459	-1.572	0.067	-0.072	2.145	0.098	137.144
488223.488	6777857.870	1.048	-2.539	0.048	-0.116	2.747	0.125	157.563
488323.488	6776457.870	1.091	-1.924	0.050	-0.088	2.212	0.101	150.447
488323.488	6776557.870	2.121	-1.691	0.097	-0.077	2.713	0.124	128.569
488323.488	6776657.870	2.872	-0.285	0.131	-0.013	2.886	0.132	95.663
488323.488	6776757.870	4.333	1.240	0.198	0.057	4.507	0.206	74.033
488323.488	6776857.870	4.835	1.515	0.221	0.069	5.067	0.231	72.607
488323.488	6776957.870	5.500	2.714	0.251	0.124	6.133	0.280	63.737
488323.488	6777057.870	5.860	3.166	0.267	0.144	6.661	0.304	61.616
488323.488	6777157.870	8.119	3.564	0.370	0.163	8.867	0.405	66.304
488323.488	6777257.870	5.913	3.923	0.270	0.179	7.096	0.324	56.440
488323.488	6777357.870	6.846	3.499	0.312	0.160	7.688	0.351	62.930
488323.488	6777457.870	6.849	3.734	0.313	0.170	7.800	0.356	61.404
488323.488	6777557.870	6.449	3.240	0.294	0.148	7.217	0.329	63.322
488323.488	6777657.870	6.650	2.911	0.303	0.133	7.259	0.331	66.362
488323.488	6777757.870	4.830	1.570	0.220	0.072	5.079	0.232	71.990
488323.488	6777857.870	1.836	-0.878	0.084	-0.040	2.035	0.093	115.558
488323.488	6777957.870	1.003	-2.104	0.046	-0.096	2.331	0.106	154.517
488423.488	6776357.870	1.308	-2.165	0.060	-0.099	2.529	0.115	148.855
488423.488	6776457.870	0.829	-2.053	0.038	-0.094	2.214	0.101	158.013
488423.488	6776557.870	0.861	-1.846	0.039	-0.084	2.037	0.093	154.991
488423.488	6776657.870	1.883	-0.955	0.086	-0.044	2.111	0.096	116.896
488423.488	6776757.870	2.872	-0.345	0.131	-0.016	2.893	0.132	96.855
488423.488	6776857.870	3.904	0.659	0.178	0.030	3.959	0.181	80.419
488423.488	6776957.870	4.436	1.775	0.202	0.081	4.778	0.218	68.189
488423.488	6777057.870	5.913	3.143	0.270	0.143	6.696	0.306	62.008
488423.488	6777157.870	6.875	4.466	0.314	0.204	8.199	0.374	56.992
488423.488	6777257.870	6.124	3.943	0.279	0.180	7.284	0.332	57.223
488423.488	6777357.870	6.124	3.999	0.279	0.182	7.315	0.334	56.855
488423.488	6777457.870	5.792	4.097	0.264	0.187	7.094	0.324	54.727
488423.488	6777557.870	7.172	3.843	0.327	0.175	8.137	0.371	61.818
488423.488	6777657.870	7.403	3.498	0.338	0.160	8.188	0.374	64.712
488423.488	6777757.870	7.271	3.446	0.332	0.157	8.047	0.367	64.639
488423.488	6777857.870	4.567	2.671	0.208	0.122	5.290	0.241	59.678
488423.488	6777957.870	2.071	-1.167	0.095	-0.053	2.377	0.108	119.403
