IMG	IMG_X	IMG_Y	X_WGS84	Y_WGS84	Z_HAE	NAME
CG04_20040625_200016	2840	2058	497213.4218	6776085.163	242.46	cairin_up
CG04_20040625_200016	1805	2062	497072.1623	6776078.199	195.98	cairin_dwn
CG04_20040625_200016	1968	829	493193.938	6776740.442	489.974	kadin_cairin
CG04_20040625_200016	2213	721	483102.2441	6779457.79	1517.682273	P4930
CG04_20040625_200016	2876	735	479195.7452	6784306.342	2151.673982	P7010
CG04_20040625_200016	314	1196	494808.105	6775250.605	69.274	
CG04_20040625_200016	1162	997	493502.625	6775779.571	230.972	
CG04_20040625_200016	968	967	493429.706	6775554.312	254.549	
CG04_20040625_200016	1589	1030	493563.271	6776260.495	223.487	
CG04_20040625_200016	2056	1114	493776.293	6776753.174	165.136	
CG04_20040625_200016	1161	627	492902	6775712.395	703.821	
CG04_20040709_160053	2834	2064.4	497213.4218	6776085.163	242.46	cairin_up
CG04_20040709_160053	1803.5	2066	497072.1623	6776078.199	195.98	cairin_dwn
CG04_20040709_160053	1961.8	834.8	493193.938	6776740.442	489.974	kaidin_cairin
CG04_20040709_160053	2214	726.5	483102.2441	6779457.79	1517.682273	P4930
CG04_20040709_160053	2872	741.6	479195.7452	6784306.342	2151.673982	P7010
CG04_20040709_160053	401	1056.2	494683.91	6775275.64	169.7687836	blotch
CG04_20040709_160053	1589	938	493407.41	6776274.48	329.896759	nipple
CG04_20040709_160053	1861.5	993	493480.07	6776578.48	285.10849	splitrock
CG04_20040709_160053	1877.2	1014.2	493526.91	6776593.64	263.8166809	cluster
CG04_20040709_160053	254.5	797.5	493558.74	6774765.14	406.1496277	
CG04_20040709_160053	967.5	968	493420.07	6775555.81	257.282135	
CG04_20040709_160053	844.5	854.5	493229.41	6775375.81	384.6965942	
CG04_20040709_160053	790.5	795.5	493136.07	6775292.48	470.5206299	
CG04_20040709_160053	1169	914.5	493329.41	6775776.48	328.8574829	
CG04_20040709_160053	1673.5	1055.5	493582.07	6776360.48	198.7421417	
CG04_20040709_160053	1605.5	954.5	493414.74	6776281.81	314.8680725	
CG04_20040709_160053	1609.5	968.5	493436.07	6776291.14	292.2686768	
CG04_20040709_160053	1237	670.5	492949.41	6775821.14	655.6034546	
CG04_20040709_160053	1208.5	739.5	493064.74	6775797.14	559.5508423	
CG04_20040709_160053	1140	591	492818.07	6775680.48	767.1621094	
CG04_20040709_160053	494	819.5	493493.41	6775021.81	399.636322	
CG04_20041009_200016	2749.6	1993.2	497213.4218	6776085.163	242.46	cairin_up
CG04_20041009_200016	1727.6	1982.8	497072.1623	6776078.199	195.98	cairin_dwn
CG04_20041009_200016	1910	752.6	493193.938	6776740.442	489.974	kadin_cairin
CG04_20041009_200016	2156.8	647	483102.2441	6779457.79	1517.682273	P4930
